THANKSGIVING	B-ACONTECIMENTO_EFEMERIDE
COM	O
MINE	O
DE	O
RIEN	O
Na	B-TEMPO_TEMPO_CALEND
noite	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Acção	I-TEMPO_TEMPO_CALEND
de	I-TEMPO_TEMPO_CALEND
Graças	I-TEMPO_TEMPO_CALEND
apresento-vos	O
um	O
blogue	O
escrito	O
dos	O
EUA	B-LOCAL_HUMANO
,	O
da	O
cidade	O
onde	O
eu	O
várias	B-TEMPO_FREQUENCIA
vezes	I-TEMPO_FREQUENCIA
passei	O
este	O
feriado.	O
Evidentemente	O
,	O
é	O
mais	O
um	O
blogue	O
de	O
um	O
LEFTista	O
(	O
embora	O
neste	O
caso	O
não	O
vá	O
insistir	O
muito	O
no	O
aspecto	O
LEFT	B-ABSTRACCAO_IDEIA
porque	O
o	O
rapaz	O
nem	O
é	O
muito	O
disso	O
...	O
)	O
.	O
O	O
autor	O
,	O
para	O
além	O
de	O
um	O
velho	O
amigo	O
-	O
conheço-o	O
desde	O
caloiro	O
-	O
,	O
é	O
uma	O
pessoa	O
interessantíssima	O
,	O
e	O
tem	O
com	O
certeza	O
uma	O
perspectiva	O
muito	O
sua	O
a	O
acrescentar	O
ao	O
assunto	O
para	O
mim	O
fascinante	O
das	O
relações	O
entre	O
a	O
Europa	B-ORGANIZACAO_ADMINISTRACAO
e	O
a	O
América	B-ORGANIZACAO_ADMINISTRACAO
,	O
o	O
Velho	B-LOCAL_HUMANO
e	O
o	O
Novo	B-LOCAL_HUMANO
Continente	I-LOCAL_HUMANO
.	O
Antes	O
de	O
eu	O
ir	O
para	O
os	O
EUA	B-LOCAL_HUMANO
falava-me	O
entusiasmadíssimo	O
do	O
american	O
way	O
of	O
life	O
e	O
de	O
como	O
era	O
boa	O
a	O
comida	O
nas	O
universidades	O
americanas	O
-	O
a	O
escolha	O
de	O
pizzas	O
!	O
os	O
hot-dogs	O
!	O
os	O
hamburgers	O
!	O
-	O
sem	O
se	O
aperceber	O
de	O
como	O
me	O
estava	O
a	O
deixar	O
horrorizado.	O
Depois	O
da	O
LEFT	B-ABSTRACCAO_DISCIPLINA
o	O
Pedro	B-PESSOA_INDIVIDUAL
veio	O
para	O
Paris	B-LOCAL_HUMANO
fazer	O
Teoria	B-ABSTRACCAO_DISCIPLINA
de	I-ABSTRACCAO_DISCIPLINA
